,0
384,[[ 7.48 25.11 48.78 70.02]]
385,[[57.38 82.22 83.12]]
386,[[13.22 34.98 58.02 58.15 70.06 70.09]]
387,[[21.41 38.76 39.09 47.94 75.91 77.3 ]]
388,[[17.85 27.58 65.51 93.55]]
389,[[ 3.74 12.11 12.86 36.13 45.41 93.9 ]]
390,[[15.59 21.45 65.61]]
391,[[ 5.43 39.6  51.91 65.56 66.92 89.19]]
392,[[46.97 74.38 83.26 92.18]]
393,[[ 6.48 82.2  90.26]]
394,[[ 2.69 58.4 ]]
395,[[ 4.8  33.41]]
396,[[ 4.6  21.9  33.12 46.66 70.7  79.7 ]]
397,[[14.41 30.81 32.03 53.89 82.07 82.67]]
398,[[ 2.09 87.71]]
399,[[34.84 98.44]]
400,[[25.91 36.99 52.98 69.78 80.46 87.28]]
401,[[14.95 24.41 28.18 46.23 53.25 61.23]]
402,[[27.44 73.5  85.57 93.95]]
403,[[13.89 14.13 19.93 97.67 98.12]]
404,[[13.52 25.84 32.66 68.38 88.24]]
405,[[44.97 98.7 ]]
406,[[24.81 27.25 62.37 94.15 98.64]]
407,[[10.96 48.73 51.67 69.1  82.72]]
408,[[35.49 48.19 61.42 69.73]]
409,[[26.95 36.1  58.75]]
410,[[16.83 38.06 79.95 93.08]]
411,[[38.18 60.  ]]
412,[[ 5.39 21.15 29.52 43.41 72.1  74.57]]
413,[[ 9.87 23.92 38.23 65.37]]
414,[[ 1.56  6.26  8.81 13.88 40.79 47.67]]
415,[[70.7  88.99 90.13]]
416,[[17.04 37.57 65.59 67.82 86.89]]
417,[[ 6.76 52.86 77.16 86.74 99.35]]
418,[[83.74 88.23]]
419,[[33.17 46.28 59.91 77.98 95.71]]
420,[[10.2  10.54 45.47]]
421,[[39.63 50.27 81.16 85.72]]
422,[[12.13 72.86]]
423,[[21.35 25.79]]
424,[[19.33 73.08 77.31 82.14]]
425,[[36.1  37.04 51.04]]
426,[[14.75 61.29]]
427,[[ 2.83 15.76 68.96 78.46]]
428,[[ 2.24 32.4 ]]
429,[[10.1  66.12 76.67 79.97 99.26]]
430,[[16.39 22.03 31.23 32.14 56.79]]
431,[[24.57 25.55 36.89 57.62 97.2 ]]
432,[[19.24 24.67 52.9  65.06 82.43]]
433,[[18.43 46.49]]
434,[[28.02 30.69 39.13 40.85]]
435,[[41.95 61.09 77.24]]
436,[[14.15 23.25 35.6  62.62 89.83]]
437,[[ 1.93 37.39 53.09 53.47 54.77 60.75]]
438,[[ 4.32 25.93 43.25 44.08 90.6  94.9 ]]
439,[[16.19 16.55 20.53 51.77 77.01]]
440,[[63.56 64.75]]
441,[[ 3.22 49.83 76.49]]
442,[[22.02 26.   32.64 34.79]]
443,[[41.3  48.61 49.03 54.04 82.92 90.7 ]]
444,[[32.96 68.87 73.23 88.91 90.62 95.61]]
445,[[17.   92.87]]
446,[[12.48 26.94 42.1  48.03 54.01 63.98]]
447,[[8.000e-02 8.514e+01 9.076e+01 9.924e+01]]
448,[[25.88 60.11]]
449,[[70.53 81.01]]
450,[[13.4  14.87 45.01 47.88]]
451,[[38.33 38.95 48.24 56.83 97.2 ]]
452,[[62.56 66.75]]
453,[[ 3.17 13.04 19.57 52.5  65.58 87.52]]
454,[[ 5.4  36.62 51.98 57.77 78.59 81.05]]
455,[[82.19 86.75 94.66]]
456,[[24.03 56.23 94.02]]
457,[[11.58 29.53 34.51 48.28 97.98]]
458,[[21.07 26.58 53.79 57.35 61.37]]
459,[[66.15 73.55 87.93]]
460,[[31.89 61.69 73.17 73.18]]
461,[[11.54 39.52 49.05 73.39 83.11 92.56]]
462,[[34.85 91.62]]
463,[[ 1.68 12.   30.89 40.65 89.98]]
464,[[ 5.72 17.59 41.77 43.48 86.02 98.46]]
465,[[65.15 66.58 80.58 82.48 86.74]]
466,[[34.58 36.2  45.52 67.78 80.01 93.23]]
467,[[23.26 45.36 60.2 ]]
468,[[ 9.59 21.23 56.36 72.58 89.13]]
469,[[ 6.95 13.17]]
470,[[ 2.66 42.15 44.53 95.73 96.61]]
471,[[57.18 74.12]]
472,[[ 2.72 27.6  49.12 72.82 73.05 87.95]]
473,[[29.7  34.99 62.93 84.68 89.02]]
474,[[39.86 72.9  86.58 90.82 94.61]]
475,[[ 9.58 57.22]]
476,[[ 6.73 49.87 58.22 69.97 86.59]]
477,[[17.58 43.22]]
478,[[ 4.78 41.3  58.24 75.35 87.68]]
479,[[10.16 40.43]]
480,[[ 2.55 63.18]]
481,[[ 9.83 14.3  80.9 ]]
482,[[78.   99.37]]
483,[[ 1.78 16.42 37.46 54.05 64.66 68.75]]
484,[[ 5.72 24.5  72.45]]
485,[[ 5.9  18.52 60.58 70.62 94.49]]
486,[[25.93 63.84 65.46]]
487,[[38.43 94.44]]
488,[[14.28 39.89 48.2  78.49 81.16]]
489,[[15.81 59.42 60.25 60.57]]
490,[[ 3.9  38.3  42.32 47.52 58.29 82.88]]
491,[[ 4.88 35.33 38.7  47.83]]
492,[[ 2.58 47.1  54.41 56.09 60.54 83.35]]
493,[[27.96 36.63 37.51 44.03 87.81]]
494,[[75.03 97.34]]
495,[[66.7  87.92 88.11]]
496,[[ 3.95 46.92 47.32 66.99 67.64 87.93]]
497,[[ 6.31 36.48 48.67 60.32]]
498,[[31.67 42.67 48.48 90.13]]
499,[[16.56 57.55 83.77]]
500,[[ 0.92 16.87]]
501,[[ 0.95 22.16 78.67 91.34]]
502,[[ 7.01  9.81 61.52 81.23]]
503,[[35.65 64.76 97.69]]
504,[[ 7.82 10.95]]
505,[[41.66 54.13 64.65]]
506,[[ 1.51 19.59 46.25 62.25 91.3  92.49]]
507,[[60.9  68.25 76.26 90.47]]
508,[[11.55 26.98 41.64 62.2  68.05]]
509,[[27.77 61.8  78.75 90.36]]
510,[[10.39 14.25 26.63 68.18 76.05]]
511,[[ 7.92 65.13 71.66]]
512,[[22.57 50.3  53.81 66.65 95.52]]
513,[[20.77 68.36 84.83]]
514,[[ 8.01 46.62]]
515,[[ 2.94 49.1 ]]
516,[[23.99 32.63 69.04 70.99]]
517,[[13.77 52.04 66.78 83.82 88.68]]
518,[[50.18 56.85 63.13]]
519,[[ 5.02  5.3  13.81 50.74 84.58]]
520,[[ 6.56 30.7  47.33]]
521,[[ 7.06 15.68 18.3  45.39 72.33 74.42]]
522,[[ 2.65 49.47 65.27 96.55]]
523,[[20.97 30.38 52.21 61.15 65.57 80.35]]
524,[[56.85 89.48]]
525,[[47.68 70.11 88.48]]
526,[[46.82 56.08 89.39]]
527,[[ 7.55 62.35 63.48 70.94]]
528,[[15.34 62.64 79.54]]
529,[[ 0.76 23.82 56.94 76.77 78.66]]
530,[[27.61 34.12 38.18 43.7  53.93 88.39]]
531,[[26.28 34.52 58.44]]
532,[[20.06 40.99 59.47]]
533,[[14.84 32.68 34.39 44.68]]
534,[[72.76 98.48]]
535,[[14.28 86.96 93.79]]
536,[[43.4  98.15]]
537,[[13.01 34.26 55.94 56.66 60.16]]
538,[[31.64 85.37]]
539,[[ 9.63 20.67 41.34 79.56 85.44 96.06]]
540,[[17.03 51.16 60.13 68.36 85.58 85.68]]
541,[[29.78 92.47]]
542,[[ 8.77 10.76 11.92 63.88 67.78 99.85]]
543,[[37.57 58.8  61.46 80.21 83.74]]
544,[[17.71 30.61 32.11 40.98]]
545,[[33.46 51.24 68.63 91.1 ]]
546,[[ 2.59 45.8  52.92 77.3 ]]
547,[[23.18 37.87 54.64 73.25 78.24 98.07]]
548,[[11.96 25.18 90.6  91.7 ]]
549,[[28.03 91.78 95.84 98.79]]
550,[[ 1.47  2.3  22.65 41.17]]
551,[[ 7.12 17.75 44.5  54.06 57.14]]
552,[[13.69 98.22]]
553,[[ 1.67  8.17 24.79 73.27]]
554,[[28.05 49.73]]
555,[[18.96 21.84 30.46 90.57]]
556,[[10.41 25.54 71.61 94.05]]
557,[[28.79 38.43 49.19 49.59 50.99 93.32]]
558,[[10.93 11.53 43.47 84.12 85.72]]
559,[[44.15 55.61 72.81 74.39 81.38 94.03]]
560,[[40.63 66.69 67.52 88.42 97.28]]
561,[[49.72 89.8  91.93]]
562,[[31.17 46.23 82.46 92.22 93.6  99.15]]
563,[[43.8  47.17]]
564,[[ 6.79 17.87 51.95]]
565,[[19.85 37.32 51.19]]
566,[[ 9.86 70.38]]
567,[[17.23 38.07 41.68 41.74 56.67 67.91]]
568,[[22.7  27.54 29.16 29.25 64.25 90.42]]
569,[[ 5.68 40.32 50.89 52.07 53.25]]
570,[[32.99 54.78]]
571,[[29.38 45.61 63.11 95.7 ]]
572,[[15.82 17.51 74.39]]
573,[[46.01 58.91]]
574,[[37.72 95.88]]
575,[[34.37 43.21 82.9  93.74]]
576,[[ 9.91 40.35 42.67 60.98 64.79 71.38]]
577,[[44.38 47.86 95.87]]
578,[[12.45 46.75 73.64 75.48 77.98 96.01]]
579,[[18.15 74.81 77.73 87.47]]
580,[[ 4.54 97.41]]
581,[[25.61 31.26 49.18 59.06 89.3 ]]
582,[[25.16 27.32 50.81 51.98 55.24 66.29]]
583,[[ 1.26  4.42 12.38 46.5 ]]
584,[[11.82 63.51]]
585,[[72.28 79.23 80.11]]
586,[[ 4.85 32.71 80.14 93.45 95.41 97.75]]
587,[[13.51 63.4  80.35 80.81]]
588,[[32.34 33.37 50.55 77.16 86.98 99.16]]
589,[[ 6.91 46.62 53.89 83.09 94.52]]
590,[[ 0.66 11.34 21.5  58.6  64.76 78.04]]
591,[[15.7  19.76 32.   35.97 65.11]]
592,[[36.86 58.77 73.08]]
593,[[ 6.43 27.07 50.86 82.2  82.51 87.62]]
594,[[25.42 67.4  83.77]]
595,[[ 4.76 52.48 63.59 65.  ]]
596,[[16.3  25.28 59.11 62.81 96.15]]
597,[[33.04 67.28]]
598,[[ 9.71 20.58 54.21]]
599,[[22.38 38.94 52.   73.09]]
600,[[ 7.17 20.01 21.98 52.28]]
601,[[18.68 19.52 38.97 68.64]]
602,[[ 4.21 15.98 57.4  61.59 87.72]]
603,[[ 2.03 99.18]]
604,[[ 1.75 20.37 22.41 60.25 81.93 87.8 ]]
605,[[20.19 20.92 26.77 49.91 81.04]]
606,[[30.97 93.68 99.97]]
607,[[10.67 27.83 53.48 82.99 86.32 99.52]]
608,[[ 1.84 16.15 32.66 36.45 36.85 86.94]]
609,[[ 1.52  7.1  21.29 40.28 67.75 89.74]]
